year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2017,Iowa,56570,73510,3118102,3055368,2824197,106762,71178,97268,12,4.1,807407,34342,133953,125366,210744,102362
2017,Kansas,55477,74633,2903820,2805405,2465518,168470,80738,127777,12.8,4.8,783160,30944,133846,127575,235745,113180
2017,Kentucky,46535,64436,4424376,4328073,3862600,353088,59593,99437,18.3,6.8,1074127,35211,156290,153412,261035,121831
2017,Louisiana,46710,66861,4663461,4575938,2909599,1500648,80980,114487,19.6,7.2,1167557,34315,177466,150792,261387,133807
2017,Maine,53024,70210,1330158,1302056,1258918,16906,14804,20960,12.9,5.3,293384,11326,51326,52085,116515,71101
2017,Maryland,78916,103845,5996079,5806478,3395212,1782256,373065,443489,9.7,6.1,1555036,73818,343799,338651,636637,277910
2017,Massachusetts,74167,101858,6789319,6579796,5358373,499774,426225,519292,11.1,6,1737576,121530,482186,400250,759516,338909
2017,Michigan,52668,72091,9925568,9646666,7813199,1374515,289082,316459,15.6,7.4,2522019,98688,391382,386222,745299,364138
2017,Minnesota,65699,86796,5490726,5336282,4598252,326953,255935,222887,10.5,4.3,1396256,65556,300730,275167,493490,216363
2017,Mississippi,42009,58371,2986220,2948291,1755471,1122576,28859,42470,21.5,8.8,789622,18568,88496,88023,155687,85112
2017,Missouri,51542,70144,6075300,5923910,5004537,703061,112959,131041,14.6,5.8,1514505,58951,268173,244647,436101,206788
2017,Montana,50801,68622,1029862,1001478,916664,4438,7448,10396,14.4,4.8,236695,7419,41136,42016,82279,50877
2017,Nebraska,56675,74309,1893921,1848350,1663612,89718,42208,82920,12,3.8,506803,20580,92822,81933,138554,64143
2017,Nevada,55434,73862,2887725,2753390,1936453,253013,232502,293386,14.2,8,693218,13242,94261,92756,175755,103349
2017,New Hampshire,71305,91605,1331848,1305658,1244260,18632,33313,36404,8.1,4.5,312824,17040,61790,64509,143317,68942
2017,New Jersey,76475,105917,8960161,8731100,6085474,1207356,844105,897450,10.7,7,2257674,121440,506949,512853,942085,385949
2017,New Mexico,46718,64625,2084828,2016546,1547843,42187,29991,126377,20.6,7.7,549233,11202,64361,62611,147127,97195
2017,New York,62765,93443,19798228,19208202,12638791,3100685,1652846,2006012,15.1,6.8,4869327,303403,1273580,1000255,1733437,813541
2017,North Carolina,50320,70523,10052564,9801368,6937466,2159427,269164,498309,16.1,7.2,2526271,94215,429889,450954,778651,366222
2017,North Dakota,61285,81334,745475,728034,654024,17365,10197,16295,11,2.7,181666,11217,38869,30091,49701,21609
2017,Ohio,52407,71119,11609756,11296984,9503779,1428230,235878,247920,14.9,6.5,2880662,108924,485411,452424,828510,382282
2017,Oklahoma,49767,67682,3896251,3594160,2828569,283821,80670,150488,16.2,5.7,1002485,28833,141465,128081,236701,128117
2017,Oregon,56119,75851,4025127,3840963,3416776,76347,166351,229637,14.9,6.8,953282,32415,189617,195328,323879,194103
2017,Pennsylvania,56951,78192,12790505,12493185,10378174,1417611,417525,403153,13.1,6.5,2997324,147934,628810,547132,1022574,474703
2017,Rhode Island,61043,82407,1056138,1024842,854801,68346,35556,67344,13.4,6.8,263952,14544,53460,45345,95402,46189
2017,South Carolina,48781,66759,4893444,4789037,3292598,1332110,71994,141907,16.6,7.2,1200892,42001,182184,179636,340171,196090
2017,South Dakota,54126,71085,855444,831951,724430,14698,11693,17888,13.9,3.7,215415,8081,35581,31830,58546,30157
2017,Tennessee,48708,68386,6597381,6459880,5131786,1107392,110605,205694,16.7,6.6,1577392,58510,269946,248930,437127,210770
2017,Texas,57051,80879,27419612,26717611,20459525,3286950,1236852,2955178,16,5.8,7550309,229967,1194618,1149089,1855054,811634
2017,Utah,65325,83147,2993941,2910658,2600077,33619,67545,153811,11,4.4,958707,22735,143569,140010,187723,95849
2017,Vermont,57808,75621,624636,612575,590499,7921,9680,12712,11.4,4.4,146742,8365,28595,28943,65688,37916
2017,Virginia,68766,94229,8365952,8074008,5720209,1605447,520119,496678,11.2,5.5,2146448,102882,470698,471040,833999,357760
2017,Washington,66174,88563,7169967,6775234,5500837,261743,578822,521887,12.2,6,1726179,71818,376740,356436,628621,325551
2017,West Virginia,44061,59634,1836843,1805043,1714591,65300,14096,14628,17.8,7.2,398364,12692,54756,51779,98988,51898
